Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1212.19657794381,1273.8052690094,1340.51670460271,1418.74337471509,1510.94449049599,1609.96268313651,1699.67620343393,1788.9485028957,1856.00519883979,1927.13427057454,2027.58184375924,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113,2715.57887431272,2868.13680013379,3048.28327602145,3241.07648966529,3303.16949807493,3358.21734764714,3617.66311465012,3775.46375555802
Viet Nam,VNM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.58792950410756,5.08240100546193,5.23717692306222,5.83556100746738,6.49878740751187,6.55339711441117,5.57239749946528,5.25231213341748,3.74838603993047,3.83237459567542,5.21227683604808,5.1944977799937,4.27630507146044,4.31498880369921,5.13784099364456,5.66896478541561,5.35427097241221,5.61787865063133,6.28095828201967,6.32464886581907,1.91581434772165,1.66651604176819,7.7256990880817,4.36194957647844
Viet Nam,VNM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.7307753268455,38.1294216644677,38.4866787864761,39.4700078083864,40.2087495299221,38.1311399002846,38.5847310338981,38.5116248479069,37.0776963788801,37.3881863793419,33.0228771360005,34.580408780539,35.8602323946766,35.575150437736,35.2985684880333,34.2665466382117,34.1152288612372,35.3903640729728,36.5424334086447,36.8031368977554,36.7437132938801,37.3915192469302,38.4823612398341,37.5815697548824
Singapore,SGP,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,52.122,52.55,51.499,52.266,52.641,53.705,55.06,53.634,56.089,55.628,57.128,57.787,58.543,58.607,59.811,61.305,61.313,60.807,60.889,61.822,61.72,64.409,62.921,63.299
Singapore,SGP,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,77.96,77.817,77.328,76.902,76.352,76.5,76.76,76.695,76.309,76.567,76.767,76.193,76.541,76.077,76.467,77,76.518,76.523,75.796,75.658,75.207,76.542,76.093,75.077
Singapore,SGP,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..,..,..,..,..,..,..,..,..,..,94.8673212691715,98.3739506072214,105.310905467206,..,..,..,90.5745224304781,91.1969710792811,95.417817614672,97.0900106709222,98.270054517134,102.329468912554,103.249422302202,102.127991350812
Singapore,SGP,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..,..,..,..,..,..,..,..,..,..,91.7639860808382,93.7421786771663,98.9005470222827,..,..,..,77.8587744398723,78.9388531207259,82.9129967776584,85.5780775478494,88.3773156081459,92.1900666285229,93.1417006367603,92.7966960331169
Singapore,SGP,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,7.10596051207405,7.29739490043517,6.86308032716614,6.9415216991776,6.99641200498682,7.08775455246966,7.16957658658578,7.22823837878035,6.97848681237594,7.07459791450773,6.40368051836309,7.03313931045434,6.94156435446799,6.1580605220783,6.58254762868004,5.54222215645946,5.66412307548263,5.76119661213841,5.84165191538119,5.96275465531953,6.33530933052759,6.68122462004367,6.32776375724315,6.01562978527354
Singapore,SGP,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,90.5829880939051,90.6102157972735,90.6678114012592,90.5574468033315,90.3871683125014,90.1649230713528,89.9584528491587,90.0664099327603,90.2226823701687,90.2111114907056,90.5903579549944,89.7278527149266,89.412255309999,89.7324493029761,90.2021111341015,90.994628826776,91.1040629187709,91.2270639284045,91.3602471072479,91.4589735152891,91.338973336869,91.1393232289735,91.0772016925635,92.2587423202601
Singapore,SGP,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,4.3010752688172,11.7647058823529,11.7647058823529,15.9574468085106,15.9574468085106,15.9574468085106,21.1764705882353,24.468085106383,24.468085106383,23.4042553191489,23.4042553191489,22.2222222222222,24.2424242424242,24.2424242424242,25.2525252525253,23.9130434782609,23.7623762376238,23,23,23,29.4736842105263,29.8076923076923,29.126213592233,29.126213592233
